;(flair-tagged) sentence;;spaCy - flair;;stanza - flair;;stanza - spaCy
51;"['The_DET', 'door_NOUN', 'of_ADP', 'Scrooge_PROPN', ""'s_PART"", 'counting-house_NOUN', 'was_VERB', 'open_ADJ', ',_PUNCT', 'that_ADP', 'he_PRON', 'might_AUX', 'keep_VERB', 'his_PRON', 'eye_NOUN', 'upon_ADP', 'his_PRON', 'clerk_NOUN', ',_PUNCT', 'who_PRON', 'in_ADP', 'a_DET', 'dismal_ADJ', 'little_ADJ', 'cell_NOUN', 'beyond_ADV', ',_PUNCT', 'a_DET', 'sort_NOUN', 'of_ADP', 'tank_NOUN', ',_PUNCT', 'was_VERB', 'copying_VERB', 'letters_NOUN', '._PUNCT']";36;{'his_DET', 'beyond_ADP', '-_PUNCT', 'was_AUX', 'counting_NOUN', 'upon_SCONJ', 'house_NOUN', 'that_SCONJ', 'might_VERB'};38;{'-_PUNCT', 'was_AUX', 'counting_NOUN', 'house_NOUN', 'that_SCONJ'};38;{'beyond_ADP', 'might_VERB', 'upon_SCONJ', 'his_DET'}
52;"['Scrooge_PROPN', 'had_VERB', 'a_DET', 'very_ADV', 'small_ADJ', 'fire_NOUN', ',_PUNCT', 'but_CCONJ', 'the_DET', 'clerk_NOUN', ""'s_PART"", 'fire_NOUN', 'was_VERB', 'so_ADV', 'very_ADV', 'much_ADV', 'smaller_ADJ', 'that_ADP', 'it_PRON', 'looked_VERB', 'like_ADP', 'one_NUM', 'coal_NOUN', '._PUNCT']";24;{'had_AUX', 'that_SCONJ', 'was_AUX', 'like_SCONJ'};24;{'that_SCONJ', 'was_AUX'};24;{'had_AUX', 'like_SCONJ'}
53;"['But_CCONJ', 'he_PRON', 'could_AUX', ""n't_ADV"", 'replenish_VERB', 'it_PRON', ',_PUNCT', 'for_ADP', 'Scrooge_PROPN', 'kept_VERB', 'the_DET', 'coal-box_NOUN', 'in_ADP', 'his_PRON', 'own_ADJ', 'room_NOUN', ';_PUNCT', 'and_CCONJ', 'so_ADV', 'surely_ADV', 'as_ADP', 'the_DET', 'clerk_NOUN', 'came_VERB', 'in_ADP', 'with_ADP', 'the_DET', 'shovel_NOUN', ',_PUNCT', 'the_DET', 'master_NOUN', 'predicted_VERB', 'that_ADP', 'it_PRON', 'would_AUX', 'be_VERB', 'necessary_ADJ', 'for_ADP', 'them_PRON', 'to_PART', 'part_VERB', '._PUNCT']";42;"{'part_NOUN', 'his_DET', 'as_SCONJ', 'be_AUX', 'to_ADP', '-_PUNCT', ""n't_PART"", 'coal_NOUN', 'box_NOUN', 'would_VERB', 'could_VERB', 'that_SCONJ'}";44;"{'in_ADV', 'be_AUX', 'as_SCONJ', 'to_ADP', '-_PUNCT', ""n't_PART"", 'coal_NOUN', 'for_SCONJ', 'box_NOUN', 'that_SCONJ'}";44;{'part_NOUN', 'could_VERB', 'his_DET', 'would_VERB'}
54;"['Wherefore_ADV', 'the_DET', 'clerk_NOUN', 'put_VERB', 'on_ADP', 'his_PRON', 'white_ADJ', 'comforter_NOUN', ',_PUNCT', 'and_CCONJ', 'tried_VERB', 'to_PART', 'warm_VERB', 'himself_PRON', 'at_ADP', 'the_DET', 'candle_NOUN', ';_PUNCT', 'in_ADP', 'which_PRON', 'effort_NOUN', ',_PUNCT', 'not_ADV', 'being_VERB', 'a_DET', 'man_NOUN', 'of_ADP', 'strong_ADJ', 'imagination_NOUN', ',_PUNCT', 'he_PRON', 'failed_VERB', '._PUNCT']";33;{'his_DET', 'not_PART', 'being_AUX', 'Wherefore_NOUN', 'which_DET'};33;{'Wherefore_VERB', 'being_AUX', 'which_DET'};33;{'not_PART', 'Wherefore_NOUN', 'his_DET'}
55;"['""_PUNCT', 'A_DET', 'merry_ADJ', 'Christmas_PROPN', ',_PUNCT', 'uncle_NOUN', '!_PUNCT']";7;{'merry_NOUN'};7;;7;{'merry_NOUN'}
56;"['God_PROPN', 'save_VERB', 'you_PRON', '!_PUNCT', '""_PUNCT']";5;;5;;5;
57;['cried_VERB', 'a_DET', 'cheerful_ADJ', 'voice_NOUN', '._PUNCT'];5;;5;;5;
58;"['It_PRON', 'was_VERB', 'the_DET', 'voice_NOUN', 'of_ADP', 'Scrooge_PROPN', ""'s_PART"", 'nephew_NOUN', ',_PUNCT', 'who_PRON', 'came_VERB', 'upon_ADP', 'him_PRON', 'so_ADV', 'quickly_ADV', 'that_ADP', 'this_DET', 'was_VERB', 'the_DET', 'first_ADJ', 'intimation_NOUN', 'he_PRON', 'had_VERB', 'of_ADP', 'his_PRON', 'approach_NOUN', '._PUNCT']";27;{'his_DET', 'was_AUX', 'upon_SCONJ', 'had_AUX', 'that_SCONJ'};27;{'this_PRON', 'that_SCONJ', 'was_AUX'};27;{'had_AUX', 'upon_SCONJ', 'his_DET'}
59;"['""_PUNCT', 'Bah_INTJ', '!_PUNCT', '""_PUNCT']";4;{'Bah_PROPN'};4;;4;{'Bah_PROPN'}
60;['said_VERB', 'Scrooge_PROPN', '._PUNCT'];3;;3;;3;
61;"['""_PUNCT', 'Humbug_PROPN', '!_PUNCT', '""_PUNCT']";4;;4;;4;
62;"['He_PRON', 'had_VERB', 'so_ADV', 'heated_VERB', 'himself_PRON', 'with_ADP', 'rapid_ADJ', 'walking_NOUN', 'in_ADP', 'the_DET', 'fog_NOUN', 'and_CCONJ', 'frost_NOUN', ',_PUNCT', 'this_DET', 'nephew_NOUN', 'of_ADP', 'Scrooge_PROPN', ""'s_PART"", ',_PUNCT', 'that_ADP', 'he_PRON', 'was_VERB', 'all_ADV', 'in_ADP', 'a_DET', 'glow_NOUN', ';_PUNCT', 'his_PRON', 'face_NOUN', 'was_VERB', 'ruddy_ADJ', 'and_CCONJ', 'handsome_ADJ', ';_PUNCT', 'his_PRON', 'eyes_NOUN', 'sparkled_VERB', ',_PUNCT', 'and_CCONJ', 'his_PRON', 'breath_NOUN', 'smoked_VERB', 'again_ADV', '._PUNCT']";45;{'ruddy_NOUN', 'his_DET', 'all_DET', 'was_AUX', 'had_AUX', 'that_SCONJ'};45;{'had_AUX', 'that_SCONJ', 'was_AUX'};45;{'ruddy_NOUN', 'his_DET', 'all_DET'}
63;"['""_PUNCT', 'Christmas_PROPN', 'a_DET', 'humbug_NOUN', ',_PUNCT', 'uncle_NOUN', '!_PUNCT', '""_PUNCT']";8;{'humbug_PROPN'};8;;8;{'humbug_PROPN'}
64;"['said_VERB', 'Scrooge_PROPN', ""'s_PART"", 'nephew_NOUN', '._PUNCT']";5;;5;;5;
65;"['""_PUNCT', 'You_PRON', 'do_VERB', ""n't_ADV"", 'mean_VERB', 'that_DET', ',_PUNCT', 'I_PRON', 'am_VERB', 'sure_ADJ', '?_PUNCT', '""_PUNCT']";12;"{'do_AUX', ""n't_PART"", 'am_AUX'}";12;"{'do_AUX', 'that_PRON', ""n't_PART"", 'am_AUX'}";12;
66;"['""_PUNCT', 'I_PRON', 'do_VERB', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', '._PUNCT']";7;{'do_AUX', ',_PUNCT'};8;{',_PUNCT'};8;{'do_AUX'}
67;"['""_PUNCT', 'Merry_PROPN', 'Christmas_PROPN', '!_PUNCT']";4;;4;;4;
68;['What_PRON', 'right_ADV', 'have_VERB', 'you_PRON', 'to_PART', 'be_VERB', 'merry_ADJ', '?_PUNCT'];8;{'right_INTJ', 'have_AUX', 'be_AUX'};8;{'right_NOUN', 'What_DET', 'be_AUX'};8;{'right_INTJ', 'have_AUX'}
69;['What_PRON', 'reason_NOUN', 'have_VERB', 'you_PRON', 'to_PART', 'be_VERB', 'merry_ADJ', '?_PUNCT'];8;{'have_AUX', 'What_DET', 'be_AUX'};8;{'What_DET', 'be_AUX'};8;{'have_AUX'}
70;"['You_PRON', ""'re_VERB"", 'poor_ADJ', 'enough_ADV', '._PUNCT', '""_PUNCT']";6;"{""'re_AUX""}";6;"{'enough_ADJ', ""'re_AUX""}";6;
71;"['""_PUNCT', 'Come_VERB', ',_PUNCT', 'then_ADV', ',""_PUNCT', 'returned_VERB', 'the_DET', 'nephew_NOUN', 'gaily_ADJ', '._PUNCT']";10;{'gaily_ADV'};11;{'gaily_ADV'};11;
72;"['""_PUNCT', 'What_PRON', 'right_NOUN', 'have_VERB', 'you_PRON', 'to_PART', 'be_VERB', 'dismal_ADJ', '?_PUNCT']";9;{'have_AUX', 'be_AUX'};9;{'What_DET', 'be_AUX'};9;{'have_AUX'}
73;['What_PRON', 'reason_NOUN', 'have_VERB', 'you_PRON', 'to_PART', 'be_VERB', 'morose_ADJ', '?_PUNCT'];8;{'have_AUX', 'What_DET', 'be_AUX'};8;{'What_DET', 'be_AUX'};8;{'have_AUX'}
74;"['You_PRON', ""'re_VERB"", 'rich_ADJ', 'enough_ADV', '._PUNCT', '""_PUNCT']";6;"{""'re_AUX""}";6;"{""'re_AUX""}";6;
75;"['Scrooge_PROPN', ',_PUNCT', 'having_VERB', 'no_DET', 'better_ADJ', 'answer_NOUN', 'ready_ADJ', 'on_ADP', 'the_DET', 'spur_NOUN', 'of_ADP', 'the_DET', 'moment_NOUN', ',_PUNCT', 'said_VERB', ',_PUNCT', '""_PUNCT', 'Bah_INTJ', '!_PUNCT', '""_PUNCT']";20;{'better_ADV', 'answer_VERB', 'no_ADV', 'Bah_PROPN'};20;;20;{'better_ADV', 'answer_VERB', 'no_ADV', 'Bah_PROPN'}
76;"['again_ADV', ';_PUNCT', 'and_CCONJ', 'followed_VERB', 'it_PRON', 'up_ADP', 'with_ADP', '""_PUNCT', 'Humbug_PROPN', '!_PUNCT', '""_PUNCT']";11;;11;;11;
77;"['""_PUNCT', 'Do_VERB', ""n't_ADV"", 'be_VERB', 'cross_ADJ', ',_PUNCT', 'uncle_NOUN', '!_PUNCT', '""_PUNCT']";9;"{""n't_PART"", 'Do_AUX', 'be_AUX'}";9;"{""n't_PART"", 'Do_AUX', 'be_AUX'}";9;
78;['said_VERB', 'the_DET', 'nephew_NOUN', '._PUNCT'];4;;4;;4;
79;"['[_PUNCT', 'Illustration_NOUN', ':_PUNCT', '_""_PUNCT', 'A_DET', 'Merry_PROPN', 'Christmas_PROPN', ',_PUNCT', 'uncle_NOUN', '!_PUNCT']";10;"{'__PROPN', '""_PUNCT'}";11;"{'__SYM', '""_PUNCT'}";11;{'__PROPN'}
80;"['God_PROPN', 'save_VERB', 'you_PRON', '!_PUNCT', '""_PUNCT']";5;;5;;5;
81;"['cried_VERB', 'a_DET', 'cheerful_ADJ', 'voice_NOUN', '._PUNCT', '_]_X', '""_PUNCT', 'What_PRON', 'else_ADV', 'can_AUX', 'I_PRON', 'be_VERB', ',""_PUNCT', 'returned_VERB', 'the_DET', 'uncle_NOUN', ',_PUNCT', '""_PUNCT', 'when_ADV', 'I_PRON', 'live_VERB', 'in_ADP', 'such_DET', 'a_DET', 'world_NOUN', 'of_ADP', 'fools_NOUN', 'as_ADP', 'this_DET', '?_PUNCT']";30;{'can_VERB', 'be_AUX', 'as_SCONJ', '__PROPN', ']_PUNCT'};32;{'this_PRON', 'else_ADJ', 'be_AUX', '._]_SYM'};30;{']_PUNCT', 'can_VERB', '__PROPN', 'as_SCONJ'}
82;['Merry_PROPN', 'Christmas_PROPN', '!_PUNCT'];3;;3;;3;
83;['Out_ADP', 'upon_ADP', 'merry_ADJ', 'Christmas_PROPN', '!_PUNCT'];5;{'upon_SCONJ', 'merry_NOUN', 'Out_ADV'};5;{'Out_ADV'};5;{'upon_SCONJ', 'merry_NOUN'}
84;"['What_PRON', ""'s_VERB"", 'Christmas-time_ADJ', 'to_ADP', 'you_PRON', 'but_CCONJ', 'a_DET', 'time_NOUN', 'for_ADP', 'paying_VERB', 'bills_NOUN', 'without_ADP', 'money_NOUN', ';_PUNCT', 'a_DET', 'time_NOUN', 'for_ADP', 'finding_VERB', 'yourself_PRON', 'a_DET', 'year_NOUN', 'older_ADJ', ',_PUNCT', 'and_CCONJ', 'not_ADV', 'an_DET', 'hour_NOUN', 'richer_ADJ', ';_PUNCT', 'a_DET', 'time_NOUN', 'for_ADP', 'balancing_VERB', 'your_PRON', 'books_NOUN', ',_PUNCT', 'and_CCONJ', 'having_VERB', 'every_DET', 'item_NOUN', 'in_ADP', ""'_PUNCT"", 'em_INTJ', 'through_ADP', 'a_DET', 'round_NOUN', 'dozen_NOUN', 'of_ADP', 'months_NOUN', 'presented_VERB', 'dead_ADJ', 'against_ADP', 'you_PRON', '?_PUNCT']";54;"{'Christmas_PROPN', ""'em_PRON"", 'your_DET', 'round_ADJ', 'not_PART', ""'s_AUX"", '-_PUNCT'}";55;"{'Christmas_PROPN', ""'em_PRON"", 'round_ADJ', ""'s_AUX"", '-_PUNCT', 'for_SCONJ'}";55;{'not_PART', 'your_DET'}
85;"['If_ADP', 'I_PRON', 'could_AUX', 'work_VERB', 'my_PRON', 'will_NOUN', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', 'indignantly_ADV', ',_PUNCT', '""_PUNCT', 'every_DET', 'idiot_NOUN', 'who_PRON', 'goes_VERB', 'about_ADP', 'with_ADP', ""'_PUNCT"", 'Merry_PROPN', ""Christmas'_PROPN"", 'on_ADP', 'his_PRON', 'lips_NOUN', 'should_AUX', 'be_VERB', 'boiled_VERB', 'with_ADP', 'his_PRON', 'own_ADJ', 'pudding_NOUN', ',_PUNCT', 'and_CCONJ', 'buried_VERB', 'with_ADP', 'a_DET', 'stake_NOUN', 'of_ADP', 'holly_NOUN', 'through_ADP', 'his_PRON', 'heart_NOUN', '._PUNCT']";43;"{'Christmas_PROPN', 'be_AUX', 'his_DET', 'my_DET', 'If_SCONJ', 'should_VERB', ""'_PART"", 'could_VERB'}";45;{'Christmas_PROPN', 'If_SCONJ', 'be_AUX'};45;"{'his_DET', 'my_DET', 'should_VERB', ""'_PART"", 'could_VERB'}"
86;"['He_PRON', 'should_AUX', '!_PUNCT', '""_PUNCT']";4;{'should_VERB'};4;;4;{'should_VERB'}
87;"['""_PUNCT', 'Uncle_PROPN', '!_PUNCT', '""_PUNCT']";4;;4;{'Uncle_NOUN'};4;
88;['pleaded_VERB', 'the_DET', 'nephew_NOUN', '._PUNCT'];4;;4;;4;
89;"['""_PUNCT', 'Nephew_NOUN', '!_PUNCT', '""_PUNCT']";4;{'Nephew_PROPN'};4;;4;{'Nephew_PROPN'}
90;"['returned_VERB', 'the_DET', 'uncle_NOUN', 'sternly_ADV', ',_PUNCT', '""_PUNCT', 'keep_VERB', 'Christmas_PROPN', 'in_ADP', 'your_PRON', 'own_ADJ', 'way_NOUN', ',_PUNCT', 'and_CCONJ', 'let_VERB', 'me_PRON', 'keep_VERB', 'it_PRON', 'in_ADP', 'mine_PRON', '._PUNCT', '""_PUNCT']";22;{'your_DET', 'mine_NOUN'};22;;22;{'your_DET', 'mine_NOUN'}
91;"['""_PUNCT', 'Keep_VERB', 'it_PRON', '!_PUNCT', '""_PUNCT']";5;;5;;5;
92;"['repeated_VERB', 'Scrooge_PROPN', ""'s_PART"", 'nephew_NOUN', '._PUNCT']";5;;5;;5;
93;"['""_PUNCT', 'But_CCONJ', 'you_PRON', 'do_VERB', ""n't_ADV"", 'keep_VERB', 'it_PRON', '._PUNCT', '""_PUNCT']";9;"{'do_AUX', ""n't_PART""}";9;"{'do_AUX', ""n't_PART""}";9;
94;"['""_PUNCT', 'Let_VERB', 'me_PRON', 'leave_VERB', 'it_PRON', 'alone_ADJ', ',_PUNCT', 'then_ADV', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', '._PUNCT']";12;;13;{'alone_ADV'};13;
95;"['""_PUNCT', 'Much_ADV', 'good_ADJ', 'may_AUX', 'it_PRON', 'do_VERB', 'you_PRON', '!_PUNCT']";8;{'do_AUX', 'good_NOUN', 'may_VERB'};8;;8;{'do_AUX', 'good_NOUN', 'may_VERB'}
96;"['Much_ADV', 'good_ADJ', 'it_PRON', 'has_VERB', 'ever_ADV', 'done_VERB', 'you_PRON', '!_PUNCT', '""_PUNCT']";9;{'has_AUX'};9;{'has_AUX'};9;
97;"['""_PUNCT', 'There_PRON', 'are_VERB', 'many_ADJ', 'things_NOUN', 'from_ADP', 'which_PRON', 'I_PRON', 'might_AUX', 'have_VERB', 'derived_VERB', 'good_ADJ', ',_PUNCT', 'by_ADP', 'which_PRON', 'I_PRON', 'have_VERB', 'not_ADV', 'profited_VERB', ',_PUNCT', 'I_PRON', 'dare_VERB', 'say_VERB', ',""_PUNCT', 'returned_VERB', 'the_DET', 'nephew_NOUN', ';_PUNCT', '""_PUNCT', 'Christmas_PROPN', 'among_ADP', 'the_DET', 'rest_NOUN', '._PUNCT']";34;{'not_PART', 'are_AUX', 'have_AUX', 'which_DET', 'might_VERB'};35;{'not_PART', 'dare_AUX', 'have_AUX'};35;{'which_DET', 'might_VERB', 'are_AUX'}
98;"['But_CCONJ', 'I_PRON', 'am_VERB', 'sure_ADJ', 'I_PRON', 'have_VERB', 'always_ADV', 'thought_VERB', 'of_ADP', 'Christmas-time_PROPN', ',_PUNCT', 'when_ADV', 'it_PRON', 'has_VERB', 'come_VERB', 'round_ADV', '--_PUNCT', 'apart_ADV', 'from_ADP', 'the_DET', 'veneration_NOUN', 'due_ADP', 'to_ADP', 'its_PRON', 'sacred_ADJ', 'name_NOUN', 'and_CCONJ', 'origin_NOUN', ',_PUNCT', 'if_ADP', 'anything_NOUN', 'belonging_VERB', 'to_ADP', 'it_PRON', 'can_AUX', 'be_VERB', 'apart_ADV', 'from_ADP', 'that_DET', '--_PUNCT', 'as_ADP', 'a_DET', 'good_ADJ', 'time_NOUN', ';_PUNCT', 'a_DET', 'kind_NOUN', ',_PUNCT', 'forgiving_ADJ', ',_PUNCT', 'charitable_ADJ', ',_PUNCT', 'pleasant_ADJ', 'time_NOUN', ';_PUNCT', 'the_DET', 'only_ADJ', 'time_NOUN', 'I_PRON', 'know_VERB', 'of_ADP', ',_PUNCT', 'in_ADP', 'the_DET', 'long_ADJ', 'calendar_NOUN', 'of_ADP', 'the_DET', 'year_NOUN', ',_PUNCT', 'when_ADV', 'men_NOUN', 'and_CCONJ', 'women_NOUN', 'seem_VERB', 'by_ADP', 'one_NUM', 'consent_NOUN', 'to_PART', 'open_VERB', 'their_PRON', 'shut-up_NOUN', 'hearts_NOUN', 'freely_ADV', ',_PUNCT', 'and_CCONJ', 'to_PART', 'think_VERB', 'of_ADP', 'people_NOUN', 'below_ADP', 'them_PRON', 'as_ADP', 'if_ADP', 'they_PRON', 'really_ADV', 'were_VERB', 'fellow-passengers_NOUN', 'to_ADP', 'the_DET', 'grave_NOUN', ',_PUNCT', 'and_CCONJ', 'not_ADV', 'another_DET', 'race_NOUN', 'of_ADP', 'creatures_NOUN', 'bound_VERB', 'on_ADP', 'other_ADJ', 'journeys_NOUN', '._PUNCT']";113;{'fellow_NOUN', 'if_SCONJ', 'Christmas_PROPN', 'can_VERB', 'were_AUX', 'up_ADP', 'be_AUX', 'as_SCONJ', 'not_PART', '-_PUNCT', 'anything_PRON', 'their_DET', 'passengers_NOUN', 'shut_VERB', 'have_AUX', 'am_AUX', 'its_DET', 'has_AUX'};119;{'if_SCONJ', 'Christmas_PROPN', 'that_PRON', 'were_AUX', 'up_ADP', 'be_AUX', 'as_SCONJ', 'kind_ADJ', '-_PUNCT', 'anything_PRON', 'passengers_NOUN', 'fellow_ADJ', 'have_AUX', 'am_AUX', 'shut_NOUN', 'has_AUX'};119;{'fellow_NOUN', 'can_VERB', 'not_PART', 'their_DET', 'shut_VERB', 'its_DET'}
99;"['And_CCONJ', 'therefore_ADV', ',_PUNCT', 'uncle_NOUN', ',_PUNCT', 'though_ADP', 'it_PRON', 'has_VERB', 'never_ADV', 'put_VERB', 'a_DET', 'scrap_NOUN', 'of_ADP', 'gold_NOUN', 'or_CCONJ', 'silver_NOUN', 'in_ADP', 'my_PRON', 'pocket_NOUN', ',_PUNCT', 'I_PRON', 'believe_VERB', 'that_ADP', 'it_PRON', '__SYM', 'has_VERB', '__SYM', 'done_VERB', 'me_PRON', 'good_ADJ', ',_PUNCT', 'and_CCONJ', '__SYM', 'will_AUX', '__SYM', 'do_VERB', 'me_PRON', 'good_ADJ', ';_PUNCT', 'and_CCONJ', 'I_PRON', 'say_VERB', ',_PUNCT', 'God_PROPN', 'bless_VERB', 'it_PRON', '!_PUNCT', '""_PUNCT']";48;{'do_AUX', 'my_DET', '__PROPN', 'though_SCONJ', 'that_SCONJ', 'has_AUX', 'will_VERB'};48;{'though_SCONJ', 'that_SCONJ', '_has__AUX', 'has_AUX'};46;{'do_AUX', 'my_DET', '__PROPN', 'will_VERB'}
100;['The_DET', 'clerk_NOUN', 'in_ADP', 'the_DET', 'tank_NOUN', 'involuntarily_ADV', 'applauded_VERB', '._PUNCT'];8;;8;;8;
101;['Becoming_VERB', 'immediately_ADV', 'sensible_ADJ', 'of_ADP', 'the_DET', 'impropriety_NOUN', ',_PUNCT', 'he_PRON', 'poked_VERB', 'the_DET', 'fire_NOUN', ',_PUNCT', 'and_CCONJ', 'extinguished_VERB', 'the_DET', 'last_ADJ', 'frail_ADJ', 'spark_NOUN', 'for_ADP', 'ever_ADV', '._PUNCT'];21;{'frail_NOUN', 'sensible_NOUN'};21;{'extinguished_ADJ'};21;{'frail_NOUN', 'sensible_NOUN'}
102;"['""_PUNCT', 'Let_VERB', 'me_PRON', 'hear_VERB', 'another_DET', 'sound_NOUN', 'from_ADP', '__SYM', 'you_PRON', '_,""_PUNCT', 'said_VERB', 'Scrooge_PROPN', ',_PUNCT', '""_PUNCT', 'and_CCONJ', 'you_PRON', ""'ll_AUX"", 'keep_VERB', 'your_PRON', 'Christmas_PROPN', 'by_ADP', 'losing_VERB', 'your_PRON', 'situation_NOUN', '!_PUNCT']";25;"{""'ll_VERB"", 'your_DET', '__PROPN'}";27;{'you__NOUN', 'by_SCONJ'};26;"{""'ll_VERB"", 'your_DET', '__PROPN'}"
103;"['You_PRON', ""'re_VERB"", 'quite_DET', 'a_DET', 'powerful_ADJ', 'speaker_NOUN', ',_PUNCT', 'sir_NOUN', ',""_PUNCT', 'he_PRON', 'added_VERB', ',_PUNCT', 'turning_VERB', 'to_ADP', 'his_PRON', 'nephew_NOUN', '._PUNCT']";17;"{'""_PUNCT', 'his_DET', ""'re_AUX""}";18;"{'sir_PROPN', '""_PUNCT', ""'re_AUX""}";18;{'his_DET'}
104;"['""_PUNCT', 'I_PRON', 'wonder_VERB', 'you_PRON', 'do_VERB', ""n't_ADV"", 'go_VERB', 'into_ADP', 'Parliament_PROPN', '._PUNCT', '""_PUNCT']";11;"{'do_AUX', ""n't_PART""}";11;"{'do_AUX', ""n't_PART""}";11;
105;"['""_PUNCT', 'Do_VERB', ""n't_ADV"", 'be_VERB', 'angry_ADJ', ',_PUNCT', 'uncle_NOUN', '._PUNCT']";8;"{""n't_PART"", 'Do_AUX', 'be_AUX', 'uncle_PROPN'}";8;"{""n't_PART"", 'Do_AUX', 'be_AUX'}";8;{'uncle_PROPN'}
106;['Come_VERB', '!_PUNCT'];2;;2;;2;
107;"['Dine_VERB', 'with_ADP', 'us_PRON', 'to-morrow_ADV', '._PUNCT', '""_PUNCT']";6;{'to_ADP', 'morrow_NOUN', '-_PUNCT'};8;{'to_ADP', '-_PUNCT', 'morrow_PROPN'};8;{'morrow_NOUN'}
108;['Scrooge_PROPN', 'said_VERB', 'that_ADP', 'he_PRON', 'would_AUX', 'see_VERB', 'him_PRON', '----_PUNCT', 'Yes_INTJ', ',_PUNCT', 'indeed_ADV', 'he_PRON', 'did_VERB', '._PUNCT'];14;{'that_SCONJ', 'him----Yes_PROPN', 'did_AUX', 'would_VERB'};12;{'that_SCONJ', 'did_AUX'};14;{'him----Yes_PROPN', 'would_VERB'}
109;['He_PRON', 'went_VERB', 'the_DET', 'whole_ADJ', 'length_NOUN', 'of_ADP', 'the_DET', 'expression_NOUN', ',_PUNCT', 'and_CCONJ', 'said_VERB', 'that_ADP', 'he_PRON', 'would_AUX', 'see_VERB', 'him_PRON', 'in_ADP', 'that_DET', 'extremity_NOUN', 'first_ADV', '._PUNCT'];21;{'that_SCONJ', 'would_VERB'};21;{'that_SCONJ'};21;{'would_VERB'}
110;"['""_PUNCT', 'But_CCONJ', 'why_ADV', '?_PUNCT', '""_PUNCT']";5;;5;;5;
111;"['cried_VERB', 'Scrooge_PROPN', ""'s_PART"", 'nephew_NOUN', '._PUNCT']";5;;5;;5;
112;"['""_PUNCT', 'Why_ADV', '?_PUNCT', '""_PUNCT']";4;;4;;4;
113;"['""_PUNCT', 'Why_ADV', 'did_VERB', 'you_PRON', 'get_VERB', 'married_VERB', '?_PUNCT', '""_PUNCT']";8;{'married_ADJ', 'did_AUX', 'get_AUX'};8;{'did_AUX', 'get_AUX'};8;{'married_ADJ'}
114;['said_VERB', 'Scrooge_PROPN', '._PUNCT'];3;;3;;3;
115;"['""_PUNCT', 'Because_ADP', 'I_PRON', 'fell_VERB', 'in_ADP', 'love_NOUN', '._PUNCT', '""_PUNCT']";8;{'Because_SCONJ'};8;{'Because_SCONJ'};8;
116;"['""_PUNCT', 'Because_ADP', 'you_PRON', 'fell_VERB', 'in_ADP', 'love_NOUN', '!_PUNCT', '""_PUNCT']";8;{'Because_SCONJ'};8;{'Because_SCONJ'};8;
117;['growled_VERB', 'Scrooge_PROPN', ',_PUNCT', 'as_ADP', 'if_ADP', 'that_DET', 'were_VERB', 'the_DET', 'only_ADJ', 'one_NUM', 'thing_NOUN', 'in_ADP', 'the_DET', 'world_NOUN', 'more_ADV', 'ridiculous_ADJ', 'than_ADP', 'a_DET', 'merry_ADJ', 'Christmas_PROPN', '._PUNCT'];21;{'if_SCONJ', 'were_AUX', 'merry_NOUN', 'as_SCONJ', 'than_SCONJ'};21;{'that_PRON', 'were_AUX', 'if_SCONJ', 'as_SCONJ'};21;{'than_SCONJ', 'merry_NOUN'}
118;"['""_PUNCT', 'Good_ADJ', 'afternoon_NOUN', '!_PUNCT', '""_PUNCT']";5;{'Good_PROPN'};5;;5;{'Good_PROPN'}
119;"['""_PUNCT', 'Nay_PROPN', ',_PUNCT', 'uncle_NOUN', ',_PUNCT', 'but_CCONJ', 'you_PRON', 'never_ADV', 'came_VERB', 'to_PART', 'see_VERB', 'me_PRON', 'before_ADP', 'that_DET', 'happened_VERB', '._PUNCT']";16;;16;{'that_PRON', 'Nay_INTJ', 'before_SCONJ'};16;
120;"['Why_ADV', 'give_VERB', 'it_PRON', 'as_ADP', 'a_DET', 'reason_NOUN', 'for_ADP', 'not_ADV', 'coming_VERB', 'now_ADV', '?_PUNCT', '""_PUNCT']";12;{'not_PART', 'as_SCONJ'};12;{'for_SCONJ'};12;{'not_PART', 'as_SCONJ'}
121;"['""_PUNCT', 'Good_ADJ', 'afternoon_NOUN', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', '._PUNCT']";7;{',_PUNCT'};8;{',_PUNCT'};8;
122;"['""_PUNCT', 'I_PRON', 'want_VERB', 'nothing_NOUN', 'from_ADP', 'you_PRON', ';_PUNCT', 'I_PRON', 'ask_VERB', 'nothing_NOUN', 'of_ADP', 'you_PRON', ';_PUNCT', 'why_ADV', 'cannot_AUX', 'we_PRON', 'be_VERB', 'friends_NOUN', '?_PUNCT', '""_PUNCT']";20;{'not_PART', 'can_VERB', 'nothing_PRON', 'be_AUX'};21;{'be_AUX', 'wa_AUX', 'not_PART', 'nt_PART', 'can_AUX', 'nothing_PRON'};22;{'can_VERB'}
123;"['""_PUNCT', 'Good_ADJ', 'afternoon_NOUN', '!_PUNCT', '""_PUNCT']";5;;5;;5;
124;['said_VERB', 'Scrooge_PROPN', '._PUNCT'];3;;3;;3;
